movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0014,Little War,Movie,Mystery,,1990,117.0,TV-14,Korean,Japan,8.4,,32793336.0,,,True,2020-10-01,False
movie_0015,Hero Empire,Movie,Sci-Fi,Mystery,2012,108.0,TV-G,English,UK,,2006408.0,,,,False,2022-09-18,False
movie_0016,Last Dream,TV Series,Family,,1999,54.0,PG-13,Spanish,USA,6.0,,,,139.0,False,2022-01-19,False
movie_0017,Kingdom Battle,Stand-up Comedy,War,,2018,72.0,NC-17,Italian,UK,5.9,,,,,True,2021-10-13,False
movie_0018,Princess Phoenix,Movie,Adventure,,2011,116.0,PG,English,France,7.6,10555440.0,7278095.0,,,True,2021-04-04,False
movie_0019,An Legend,Limited Series,Sci-Fi,Crime,2004,48.0,TV-PG,English,UK,9.3,,,1.0,155.0,False,2022-05-12,False
movie_0020,An Mystery,TV Series,Fantasy,,2009,41.0,PG-13,English,Canada,7.1,,,14.0,168.0,False,2022-08-21,False
movie_0021,Family Love,Limited Series,Family,Thriller,2020,52.0,TV-PG,English,USA,8.5,,,5.0,106.0,False,2023-07-25,False
movie_0022,First Mystery,Movie,Sci-Fi,,1998,115.0,TV-PG,English,South Korea,,2934549.0,40080746.0,,,True,2022-09-12,False
movie_0023,Mystery Night,TV Series,Adventure,,2020,60.0,TV-MA,English,USA,4.8,,,6.0,197.0,True,2024-10-18,False
movie_0024,Fire Mystery,Movie,Biography,,1990,114.0,TV-Y7,English,South Korea,4.4,895311.0,52104449.0,,,False,2023-04-04,False
movie_0025,Quest Queen,Movie,Family,,2013,127.0,PG,English,UK,9.2,,1286089.0,,,False,2024-12-21,False
movie_0026,Last Love,TV Series,Comedy,,2000,78.0,PG,English,India,8.6,,,10.0,121.0,False,2025-02-23,False
movie_0027,House House,Stand-up Comedy,Western,,2012,60.0,PG-13,English,South Korea,7.0,,,,,True,2021-09-19,False
movie_0028,Legend Hero,Stand-up Comedy,Biography,Romance,2003,417.0,PG,French,USA,,,,,,False,2024-01-07,False
movie_0029,Dark Princess,Movie,Horror,Sport,1998,117.0,PG,English,Japan,5.4,,6128075.0,,,False,2022-04-16,False
movie_0030,Dragon King,Movie,Documentary,,2017,151.0,G,English,India,7.5,,9373734.0,,,False,2024-06-10,True
movie_0031,Warrior War,Movie,Romance,,2024,129.0,TV-Y7,English,USA,4.7,,2057069.0,,,False,2022-06-10,False
movie_0032,House Hero,TV Series,Crime,,2000,31.0,TV-Y7,German,UK,,,,3.0,24.0,False,2024-02-13,False
movie_0033,Mystery City,Movie,Horror,,1995,116.0,TV-MA,Korean,USA,7.3,,,,,False,2022-06-24,False
movie_0034,Mission Kingdom,TV Series,War,Horror,2018,48.0,TV-PG,English,India,7.7,,,14.0,138.0,True,2023-10-22,True
movie_0035,Princess Love,TV Series,Family,Romance,1994,38.0,TV-PG,English,USA,7.4,,,,62.0,False,2021-03-01,False
movie_0036,House Legend,TV Series,Adventure,Action,2018,61.0,PG-13,Spanish,Germany,6.5,,,10.0,57.0,False,2025-04-18,False
movie_0037,Empire King,TV Series,Comedy,,2011,51.0,TV-G,French,USA,,,,5.0,23.0,False,2025-05-02,False
movie_0038,A Empire,Movie,Action,,1993,98.0,TV-MA,Korean,USA,5.6,3127772.0,391629433.0,,,True,2021-06-29,False
movie_0039,Love Queen,Movie,Mystery,,2019,80.0,PG-13,German,USA,7.3,5603605.0,,,,False,2022-01-10,False
movie_0040,Mystery Quest,Movie,War,Music,2005,116.0,PG-13,Japanese,UK,6.4,1816487.0,2016406.0,,,False,2023-02-04,False
movie_0041,Kingdom War,Documentary,Biography,Sport,2003,83.0,TV-14,English,USA,,,,,,False,2023-03-23,False
movie_0042,First Hero,Movie,Action,,2020,452.0,TV-G,Hindi,India,6.7,2146992.0,55547817.0,,,True,2024-06-01,False
movie_0043,City Queen,Documentary,Family,,2005,80.0,PG-13,Spanish,USA,6.3,,,,,False,2022-12-12,False
movie_0044,Dragon City,Stand-up Comedy,War,Documentary,1998,379.0,TV-G,English,USA,5.2,,,,,False,2023-01-31,False
movie_0045,Battle Day,Documentary,History,,2003,92.0,PG,English,USA,5.4,,,,,True,2025-02-18,False
movie_0046,The Dragon,TV Series,Family,,2002,43.0,PG-13,English,USA,6.7,,,8.0,113.0,False,2023-08-15,False
movie_0047,Day Journey,TV Series,Thriller,,2008,47.0,PG,English,Japan,5.4,,,9.0,54.0,False,2020-12-15,False
movie_0048,Secret Legend,Movie,Family,,1994,102.0,TV-14,Hindi,UK,,93953191.0,835652471.0,,,False,2024-08-30,False
movie_0049,Kingdom Day,Movie,Thriller,,2023,111.0,NC-17,English,Germany,4.6,629194.0,2736647.0,,,False,2024-03-03,False
movie_0050,Last Quest,TV Series,Biography,,2015,41.0,TV-PG,French,USA,6.1,,,8.0,116.0,False,2023-08-10,False
movie_0051,Hero Mystery,TV Series,Western,Comedy,1995,52.0,TV-PG,English,USA,8.0,,,12.0,178.0,False,2023-09-10,False
movie_0052,Hero Journey,Movie,Sport,Biography,2002,104.0,PG-13,Italian,USA,4.9,6117844.0,16638609.0,,,True,2022-11-01,False
movie_0053,Princess City,Documentary,History,,2018,90.0,TV-Y7,English,Canada,4.7,,,,,False,2022-02-28,False
movie_0054,Phoenix Journey,TV Series,Romance,History,2021,35.0,TV-MA,English,France,8.8,,,,78.0,False,2024-11-17,False
movie_0055,Queen Quest,Movie,Sci-Fi,,2002,84.0,G,Italian,India,4.7,6494786.0,,,,True,2023-11-21,True
movie_0056,Big Princess,Movie,Adventure,Comedy,1997,137.0,TV-Y,English,USA,6.2,3593765.0,2259750.0,,,True,2021-01-18,False
movie_0057,Mission Dream,Movie,Biography,,2017,82.0,TV-14,Spanish,USA,5.9,4186498.0,7674756.0,,,True,2021-10-30,False
movie_0058,Day Mystery,Stand-up Comedy,Drama,,2020,57.0,R,English,USA,6.6,,,,,True,2022-10-16,False
movie_0059,Night Secret,TV Series,Romance,Sci-Fi,1992,580.0,TV-14,French,USA,6.3,,,4.0,42.0,True,2020-08-24,False
movie_0060,Night Warrior,TV Series,Biography,,1993,44.0,PG-13,English,USA,4.9,,,10.0,46.0,False,2024-08-08,False
movie_0061,Journey Night,Movie,Drama,,2017,100.0,TV-MA,English,UK,6.9,11264097.0,,,,False,2021-11-25,False
movie_0062,Phoenix Mission,Movie,Action,,2012,129.0,TV-Y,English,USA,4.4,4494260.0,53848956.0,,,False,2022-08-16,False
movie_0063,Hero Kingdom,Movie,Adventure,,1997,165.0,G,Hindi,UK,6.9,1360448.0,656952.0,,,False,2021-04-22,False
movie_0064,Last City,Documentary,Animation,Crime,1994,115.0,TV-PG,Japanese,South Korea,5.8,,,,,False,2021-07-03,False
movie_0065,Day Queen,Movie,Sport,,1991,109.0,TV-14,Italian,USA,,11397312.0,32147534.0,,,True,2024-11-16,False
movie_0066,Adventure King,Movie,Comedy,Romance,2013,104.0,TV-14,English,Canada,7.9,4687811.0,26772080.0,,,False,2022-06-24,False
movie_0067,Story Mystery,TV Series,Crime,,2005,50.0,PG,English,USA,6.8,,,2.0,73.0,False,2023-05-21,False
movie_0068,Secret Night,TV Series,Horror,,1994,46.0,R,English,USA,7.5,,,5.0,44.0,False,2021-10-22,False
movie_0069,An Quest,TV Series,Documentary,,2020,42.0,NC-17,Spanish,South Korea,8.1,,,9.0,6.0,False,2024-02-13,False
movie_0070,Battle City,Documentary,Biography,,2023,81.0,R,Hindi,France,6.5,,,,,False,2022-12-31,True
movie_0071,Phoenix Ice,TV Series,Music,Sci-Fi,2016,70.0,TV-MA,English,Canada,6.7,,,3.0,79.0,True,2024-06-17,False
movie_0072,Storm Warrior,Limited Series,Sci-Fi,Drama,2015,73.0,TV-14,French,South Korea,,,,14.0,75.0,False,2021-06-09,False
movie_0073,House Family,TV Series,Action,,2021,42.0,TV-PG,German,Canada,4.8,,,5.0,121.0,True,2023-03-24,False
movie_0074,Dark Ice,Movie,Comedy,,2005,150.0,PG,English,Canada,,1915176.0,3628760.0,,,True,2021-11-07,False
movie_0075,War Hero,TV Series,Animation,Crime,2016,18.0,TV-PG,English,USA,6.5,,,1.0,177.0,False,2023-04-21,True
movie_0076,Empire Battle,Movie,Family,Documentary,2023,108.0,G,English,USA,6.8,20837483.0,4643156.0,,,True,2023-05-30,False
movie_0077,Our Battle,TV Series,War,History,2018,26.0,TV-14,English,USA,6.4,,,5.0,95.0,True,2024-12-03,False
movie_0078,Little War,Movie,Fantasy,Mystery,1999,143.0,NC-17,Hindi,USA,,1035450.0,,,,False,2022-03-30,False
movie_0079,Mission Dream,Movie,War,,2005,414.0,TV-G,Hindi,USA,5.9,4204348.0,24367896.0,,,False,2021-02-07,False
movie_0080,Day Queen,Movie,Documentary,Documentary,2014,89.0,TV-Y,English,USA,7.8,5453306.0,32981493.0,,,False,2022-12-26,False
movie_0081,Mission Fire,Movie,Documentary,,2023,119.0,TV-14,Italian,Japan,7.8,22471820.0,5603722.0,,,False,2021-06-05,False
movie_0082,Bright Phoenix,Movie,Western,,1995,408.0,TV-MA,German,South Korea,4.6,8461755.0,173407724.0,,,True,2021-04-14,False
movie_0083,Journey Phoenix,Movie,Sci-Fi,,2024,101.0,TV-Y,English,USA,7.0,97100.0,69320180.0,,,True,2020-08-14,True
movie_0084,Night Phoenix,Movie,Documentary,Crime,1998,114.0,PG,English,Germany,6.8,,39250966.0,,,True,2023-09-08,True
movie_0085,Mission Secret,Stand-up Comedy,Crime,Crime,2009,44.0,TV-Y,Korean,USA,5.7,,,,,False,2024-05-03,True
movie_0086,Big Adventure,Documentary,Biography,Family,1998,68.0,G,English,UK,0.6,,,,,True,2024-07-11,False
movie_0087,Our Storm,Movie,Comedy,,2010,38.0,PG-13,Italian,USA,6.6,,,,,False,2021-02-22,True
movie_0088,Journey Love,TV Series,Sport,,1990,63.0,PG-13,English,Canada,7.2,,,4.0,79.0,False,2023-03-02,False
movie_0089,Mystery Day,Movie,Romance,,2014,79.0,TV-Y7,Hindi,Japan,0.9,44425136.0,16348642.0,,,True,2021-06-07,True
movie_0090,Ice Kingdom,Documentary,Animation,Biography,2003,107.0,TV-PG,English,USA,8.7,,,,,False,2021-12-24,True
movie_0091,Dragon Ice,Documentary,Horror,,1993,79.0,PG-13,English,Japan,4.7,,,,,True,2022-11-24,False
movie_0092,Story Kingdom,TV Series,War,,1991,35.0,PG,English,UK,8.8,,,14.0,62.0,False,2024-04-23,False
movie_0093,City Queen,Movie,History,Biography,2020,101.0,R,English,USA,9.7,,41795066.0,,,True,2024-03-31,False
movie_0094,Dark City,Stand-up Comedy,Western,Western,1993,68.0,TV-Y7,English,USA,5.3,,,,,False,2021-08-03,False
movie_0095,Legend Storm,TV Series,Fantasy,,2003,32.0,TV-MA,English,USA,3.6,,,9.0,76.0,True,2025-05-06,False
movie_0096,King Fire,Movie,Action,,2018,105.0,G,English,UK,4.5,8939550.0,4931077.0,,,False,2024-06-22,True
movie_0097,Secret War,Movie,Fantasy,,2001,102.0,TV-Y,Hindi,Canada,3.1,2137471.0,36710118.0,,,False,2021-05-15,False
movie_0098,A War,Stand-up Comedy,Adventure,,2001,77.0,PG-13,English,USA,6.4,,,,,True,2022-07-27,False
movie_0099,Dragon Day,Documentary,Western,,2021,110.0,PG,English,UK,8.3,,,,,False,2021-07-06,True
movie_0100,Adventure Dream,Movie,Fantasy,,1996,99.0,TV-G,English,Canada,6.0,8590064.0,,,,False,2024-07-30,False
movie_0101,King House,TV Series,Animation,,2008,45.0,TV-MA,English,South Korea,6.9,,,3.0,96.0,False,2025-07-19,False
movie_0102,Fire War,TV Series,Comedy,Sci-Fi,2003,32.0,TV-14,Italian,South Korea,5.1,,,6.0,74.0,False,2023-08-17,True
movie_0103,Family Battle,Stand-up Comedy,Sci-Fi,Action,2017,52.0,NC-17,Italian,France,8.2,,,,,False,2024-04-16,False
movie_0104,Mystery Mystery,Movie,War,Fantasy,2001,107.0,TV-Y,English,South Korea,,,13208249.0,,,False,2024-11-24,False
movie_0105,Adventure House,Movie,Animation,Adventure,1992,109.0,TV-MA,Korean,USA,6.3,1354517.0,3059547.0,,,True,2023-09-28,False
movie_0106,Dragon Night,Documentary,Animation,Family,1991,89.0,NC-17,Spanish,South Korea,7.3,,,,,False,2020-08-25,True
movie_0107,Love Kingdom,Documentary,Biography,,2014,87.0,TV-MA,English,UK,6.1,,,,,False,2023-03-02,True
movie_0108,First Phoenix,Movie,Fantasy,,2000,128.0,TV-G,Italian,USA,7.8,747506.0,151826737.0,,,False,2021-03-14,True
movie_0109,Family Story,Movie,War,,2023,119.0,PG-13,English,USA,6.5,2792744.0,194859508.0,,,False,2022-12-24,False
movie_0110,Queen Day,Movie,Comedy,Adventure,1998,122.0,NC-17,English,USA,5.5,3551286.0,,,,True,2022-06-03,False
movie_0111,Kingdom Mission,Movie,Sport,,1995,106.0,TV-Y7,English,USA,,770163.0,3222643.0,,,False,2021-03-12,True
movie_0112,King Princess,TV Series,Music,Biography,1991,69.0,R,English,USA,,,,2.0,103.0,True,2022-01-22,False
movie_0113,A Quest,Movie,History,,2022,110.0,PG-13,French,Germany,5.9,845349.0,4568753.0,,,False,2020-12-09,True
movie_0114,Journey King,TV Series,Animation,Mystery,2008,46.0,TV-PG,English,India,9.7,,,9.0,48.0,False,2022-10-24,False
movie_0115,War Dragon,Movie,Crime,,2021,69.0,NC-17,English,USA,6.0,18860431.0,57338013.0,,,True,2021-04-09,False
movie_0116,Secret Story,Documentary,Biography,Documentary,1990,134.0,TV-14,French,France,4.7,,,,,False,2024-02-27,True
movie_0117,Little Dragon,Movie,Family,,2013,109.0,R,English,USA,5.2,794995.0,24268353.0,,,True,2022-04-27,True
movie_0118,Hero Love,Documentary,Sport,,2014,96.0,TV-14,English,USA,,,,,,False,2021-07-14,False
movie_0119,Little Warrior,Documentary,Action,Adventure,2019,98.0,G,Hindi,South Korea,8.5,,,,,False,2025-07-26,True
movie_0120,Last Mission,Movie,Mystery,Comedy,2022,152.0,TV-Y,English,USA,5.2,,22144747.0,,,False,2024-04-21,False
movie_0121,Last Dream,Movie,Mystery,,2004,113.0,G,English,USA,6.1,1666756.0,,,,False,2022-09-09,False
movie_0122,Little Queen,Movie,History,,2019,125.0,TV-MA,English,USA,3.9,9321651.0,5551808.0,,,False,2024-08-01,False
movie_0123,Family Fire,Movie,Documentary,History,2008,109.0,R,English,USA,4.5,556402.0,8920240.0,,,True,2023-04-03,False
movie_0124,Bright House,TV Series,Comedy,,2003,38.0,TV-Y,English,USA,6.6,,,12.0,14.0,True,2024-01-14,False
movie_0125,Our Queen,Movie,Western,Music,2010,105.0,PG,English,Canada,5.0,16341730.0,39189864.0,,,True,2022-01-10,False
movie_0126,Journey Princess,Movie,Sci-Fi,Biography,2003,125.0,TV-MA,Spanish,USA,7.4,26713214.0,5582578.0,,,False,2022-12-29,False
movie_0127,Dragon Quest,Documentary,Music,Drama,2016,85.0,PG,English,USA,4.4,,,,,False,2024-12-22,False
movie_0128,A Quest,Limited Series,History,,2008,58.0,NC-17,English,Canada,4.9,,,2.0,153.0,False,2022-03-29,False
movie_0129,Mission Fire,Stand-up Comedy,Sci-Fi,Crime,2000,36.0,TV-Y7,English,USA,,,,,,True,2023-10-10,False
movie_0130,Last House,Movie,Action,,1990,36.0,NC-17,English,Japan,6.4,10949397.0,45443003.0,,,False,2020-11-19,False
movie_0131,Story Mystery,Movie,Sci-Fi,,2024,115.0,TV-Y7,English,USA,6.4,31998338.0,4303498.0,,,True,2025-04-25,False
movie_0132,Dragon War,Documentary,Comedy,,2022,95.0,TV-PG,Spanish,Japan,7.7,,,,,False,2021-01-12,False
movie_0133,Adventure Princess,Movie,Family,,1993,97.0,R,English,USA,7.8,9889659.0,36933865.0,,,False,2021-12-12,False
movie_0134,Story Night,Stand-up Comedy,Adventure,Animation,1999,52.0,PG,Spanish,France,7.3,,,,,False,2023-08-24,False
movie_0135,Princess House,Movie,Western,,2016,73.0,TV-G,Japanese,USA,5.3,,196392638.0,,,False,2023-08-10,False
movie_0136,First House,Documentary,Adventure,,2001,404.0,NC-17,English,Canada,1.0,,,,,False,2023-05-25,False
movie_0137,First Mission,Movie,History,,2023,106.0,TV-Y7,English,USA,7.6,992285.0,84883879.0,,,False,2020-12-26,False
movie_0138,Kingdom Fire,Movie,Biography,Comedy,2024,118.0,PG,English,Canada,5.6,2785266.0,20178073.0,,,False,2023-05-29,False
movie_0139,Last War,Limited Series,Mystery,,1993,23.0,TV-G,English,USA,4.4,,,2.0,102.0,False,2024-05-05,False
movie_0140,City Empire,Documentary,Sport,,2023,19.0,TV-14,English,France,5.6,,,,,False,2025-06-20,False
movie_0141,War Story,Movie,Action,Crime,1990,96.0,PG,Korean,Japan,3.9,,351613.0,,,False,2024-10-30,True
movie_0142,Battle Secret,Limited Series,Western,,2018,71.0,TV-Y7,English,UK,,,,14.0,169.0,False,2021-02-26,True
movie_0143,Adventure Fire,Movie,Biography,,2006,143.0,NC-17,German,Germany,5.0,792013.0,5298432.0,,,True,2022-12-28,False
movie_0144,Our Dream,TV Series,Comedy,,2013,37.0,TV-14,Korean,India,9.4,,,11.0,42.0,True,2020-12-07,False
movie_0145,Fire Empire,TV Series,Thriller,Sci-Fi,1990,40.0,G,English,UK,8.4,,,10.0,197.0,True,2024-03-09,False
movie_0146,Bright Love,Movie,War,,2014,79.0,PG-13,English,USA,4.4,,,,,False,2024-11-22,False
movie_0147,Dark Love,Documentary,Action,,1996,34.0,G,Japanese,UK,3.9,,,,,False,2023-02-11,False
movie_0148,War Storm,TV Series,Mystery,,1997,66.0,TV-Y7,Spanish,USA,8.9,,,1.0,101.0,True,2022-07-29,False
movie_0149,The Fire,Documentary,Action,,2000,364.0,TV-PG,Spanish,USA,3.0,,,,,False,2023-09-12,False
movie_0150,Story Fire,Movie,Adventure,Sport,2013,157.0,TV-14,English,Japan,8.1,28183154.0,26250908.0,,,False,2022-12-26,True
movie_0151,Night Love,Movie,Animation,,2005,98.0,TV-Y,English,South Korea,6.2,5071451.0,235899.0,,,False,2022-12-11,False
movie_0152,Fire Quest,Movie,Documentary,Sport,1991,104.0,TV-MA,Hindi,USA,3.6,,,,,False,2020-10-13,False
movie_0153,Phoenix Dragon,Movie,Animation,,2007,148.0,NC-17,Spanish,USA,7.8,1445488.0,,,,True,2024-01-30,False
movie_0154,Bright Phoenix,TV Series,Sci-Fi,,1998,19.0,TV-Y,Italian,UK,5.0,,,14.0,187.0,True,2024-01-15,False
movie_0155,Dream Battle,Movie,Romance,,2005,140.0,TV-Y7,English,USA,6.5,,10889136.0,,,False,2025-07-01,False
movie_0156,An Ice,Movie,History,Thriller,2019,111.0,TV-14,English,France,6.0,19903417.0,10427828.0,,,True,2023-07-16,False
movie_0157,Last Ice,Documentary,Sport,,2001,77.0,R,German,USA,10.0,,,,,False,2022-02-15,False
movie_0158,Storm Princess,Documentary,War,,2019,110.0,R,English,USA,,,,,,False,2022-02-27,True
movie_0159,Battle Family,Movie,Drama,Mystery,2001,121.0,NC-17,Korean,India,7.7,6129856.0,6244192.0,,,False,2023-01-23,False
movie_0160,Love Journey,Movie,Comedy,,2016,10.0,R,Italian,Canada,6.6,9355608.0,738634327.0,,,False,2023-08-19,False
movie_0161,Our King,Movie,Western,,1993,97.0,TV-Y,English,Germany,6.5,3405303.0,894261.0,,,False,2021-02-20,False
movie_0162,Day Fire,TV Series,Animation,Sci-Fi,2005,40.0,TV-PG,Spanish,South Korea,5.8,,,5.0,111.0,False,2021-08-23,False
movie_0163,Bright War,Movie,Comedy,,2015,85.0,TV-PG,English,USA,5.7,503735.0,58761541.0,,,False,2021-01-10,True
movie_0164,Quest Ice,Movie,Romance,Western,1995,111.0,TV-14,English,USA,,2398917.0,35707634.0,,,False,2021-01-13,False
movie_0165,Bright Day,Movie,Action,Sci-Fi,2018,91.0,G,English,Germany,7.6,456624.0,82210.0,,,False,2023-11-21,False
movie_0166,Mystery Princess,TV Series,Western,,2012,66.0,TV-G,English,USA,3.3,,,10.0,54.0,True,2024-02-03,False
movie_0167,Battle Night,TV Series,Adventure,,2010,37.0,TV-MA,Italian,USA,,,,9.0,178.0,False,2021-06-26,False
movie_0168,Love Love,Movie,Crime,Mystery,1997,103.0,G,English,USA,6.9,5781768.0,,,,True,2023-02-13,False
movie_0169,Storm Day,TV Series,Western,,1998,53.0,TV-PG,English,Canada,6.9,,,13.0,81.0,False,2025-01-20,False
movie_0170,Phoenix Love,Movie,Horror,,1997,537.0,R,English,South Korea,6.1,431570.0,6675003.0,,,False,2024-03-10,True
movie_0171,Dream Warrior,Movie,Biography,,1994,110.0,TV-14,English,USA,1.4,3768477.0,11316045.0,,,False,2021-05-21,False
movie_0172,My Story,Movie,Horror,,1993,94.0,TV-Y,Spanish,USA,10.0,5064920.0,11553135.0,,,False,2023-09-10,False
movie_0173,Little Dragon,Stand-up Comedy,Sci-Fi,History,2002,58.0,TV-Y,Hindi,Canada,7.2,,,,,True,2022-02-04,False
movie_0174,City Battle,TV Series,Thriller,,2020,50.0,TV-Y7,Spanish,France,,,,7.0,78.0,False,2023-11-06,False
movie_0175,Fire Day,Movie,Fantasy,,2002,137.0,TV-G,German,USA,8.9,365831.0,,,,True,2023-07-13,False
movie_0176,Dream City,TV Series,Documentary,,2008,39.0,TV-Y7,French,USA,4.4,,,10.0,116.0,True,2022-09-02,False
movie_0177,Fire Princess,Movie,Drama,,2022,99.0,PG,Italian,USA,9.1,197326642.0,5829409.0,,,True,2024-09-21,False
movie_0178,Our Princess,TV Series,Animation,,2002,55.0,G,English,South Korea,5.6,,,,6.0,False,2023-11-30,False
movie_0179,Battle Empire,TV Series,Documentary,,2014,41.0,TV-PG,Spanish,UK,0.8,,,6.0,20.0,True,2023-03-30,False
movie_0180,Story Queen,TV Series,Action,,2010,26.0,G,English,USA,6.5,,,1.0,159.0,False,2020-11-18,False
movie_0181,Phoenix Hero,TV Series,Crime,,2020,43.0,G,English,UK,7.4,,,4.0,134.0,False,2023-09-22,False
movie_0182,Mystery Adventure,Movie,Thriller,,1990,125.0,TV-14,English,USA,5.7,5738797.0,1406285.0,,,False,2024-10-09,False
movie_0183,House Phoenix,TV Series,Music,Romance,1999,42.0,G,English,USA,,,,14.0,85.0,True,2024-05-04,False
movie_0184,Legend House,Documentary,Documentary,,2000,84.0,PG-13,English,USA,7.3,,,,,True,2021-06-26,False
movie_0185,King Ice,Documentary,History,,2020,83.0,TV-G,English,USA,7.4,,,,,False,2023-04-29,False
movie_0186,Old House,TV Series,Comedy,,1999,70.0,TV-G,English,USA,,,,9.0,151.0,False,2024-03-08,True
movie_0187,First Journey,Documentary,Crime,,2012,102.0,TV-Y,English,South Korea,8.2,,,,,False,2024-02-07,False
movie_0188,Our Hero,Movie,Comedy,,1998,111.0,TV-PG,English,USA,9.3,6199801.0,15193445.0,,,False,2022-09-12,False
movie_0189,Family Mission,Movie,Documentary,,1993,85.0,TV-MA,Japanese,USA,5.8,593000.0,99504513.0,,,False,2020-10-10,False
movie_0190,Princess Night,Documentary,Fantasy,,2010,94.0,TV-MA,English,USA,6.0,,,,,True,2020-11-19,True
movie_0191,War Kingdom,Stand-up Comedy,Adventure,,2006,36.0,G,English,USA,5.5,,,,,False,2022-07-12,False
movie_0192,Family Queen,Movie,Comedy,Horror,2021,127.0,PG,Korean,Canada,6.1,52114579.0,24037884.0,,,False,2020-09-10,False
movie_0193,Love Story,Movie,Animation,,2002,53.0,TV-MA,English,India,4.3,5819919.0,20052531.0,,,True,2023-01-24,False
movie_0194,The Phoenix,Movie,Western,,2016,153.0,PG,German,USA,5.9,7058434.0,11893984.0,,,False,2022-12-03,False
movie_0195,New Phoenix,Limited Series,Music,,1996,18.0,NC-17,Korean,Canada,6.4,,,6.0,151.0,False,2022-06-15,False
movie_0196,Legend Mission,Movie,Mystery,,2014,69.0,TV-Y,Korean,Japan,4.3,5542251.0,1949871.0,,,False,2022-10-21,False
movie_0197,Adventure War,Documentary,History,Biography,1998,78.0,TV-MA,French,South Korea,7.3,,,,,True,2021-10-04,False
movie_0198,Phoenix Family,TV Series,Sport,,2007,48.0,TV-PG,Hindi,USA,4.9,,,6.0,141.0,True,2023-01-02,False
movie_0199,A Love,TV Series,Music,,1992,23.0,TV-Y7,English,India,8.3,,,3.0,53.0,False,2020-08-30,False
movie_0200,Legend Secret,TV Series,Drama,,2002,10.0,NC-17,English,USA,4.6,,,14.0,79.0,False,2024-10-15,False
movie_0201,Secret Battle,Movie,Adventure,,2012,142.0,R,English,USA,5.6,573288.0,,,,False,2022-05-27,True
movie_0202,City Empire,Stand-up Comedy,Horror,Adventure,1961,47.0,TV-14,Spanish,France,6.1,,,,,False,2020-11-30,False
movie_0203,First Journey,Documentary,Action,Family,2008,87.0,TV-PG,English,Canada,,,,,,True,2023-01-19,False
movie_0204,My Quest,Movie,Action,,1998,100.0,TV-14,English,UK,5.3,1055495.0,1732903.0,,,False,2023-04-24,True
movie_0205,Adventure Legend,TV Series,Drama,Adventure,2021,73.0,R,Japanese,USA,6.5,,,2.0,109.0,False,2020-11-18,False
movie_0206,Big Dragon,TV Series,Romance,,2003,50.0,PG-13,English,Canada,6.0,,,9.0,97.0,False,2023-04-13,False
movie_0207,Family Ice,TV Series,Sport,Mystery,1992,34.0,R,English,USA,7.5,,,8.0,15.0,True,2020-08-02,True
movie_0208,The Story,Movie,Thriller,,1993,109.0,R,Spanish,USA,7.4,5539041.0,,,,True,2021-04-28,False
movie_0209,King Dragon,TV Series,History,,2023,44.0,TV-G,English,USA,6.2,,,9.0,89.0,True,2022-06-16,True
movie_0210,Princess Kingdom,Movie,Sport,,2018,83.0,TV-14,German,Canada,2.7,2206961.0,,,,False,2022-02-15,False
