search_id,user_id,search_query,search_date,results_returned,clicked_result_position,device_type,search_duration_seconds,had_typo,used_filters,location_country
search_000088,user_09069,christmas movies,2025-06-15,61,,Smart TV,17.1,False,True,Canada
search_000089,user_08345,stand up comedy,2024-10-13,9,,Tablet,33.7,True,False,USA
search_000090,user_06935,family movies,2024-10-16,32,,Laptop,7.7,False,True,Canada
search_000091,user_02106,animated shows,2024-09-13,55,4,Tablet,12.9,False,False,Canada
search_000092,user_07720,drama series,2024-04-29,92,,Tablet,0.3,True,False,Canada
search_000093,user_09994,documentaries,2024-01-19,83,10,Smart TV,5.8,False,False,USA
search_000094,user_01962,horror movies,2024-07-15,36,9,Laptop,27.4,False,False,USA
search_000095,user_00039,thriller series,2024-12-30,82,,Smart TV,14.2,False,False,USA
search_000096,user_06616,sci-fi,2025-05-10,26,,Smart TV,,False,True,USA
search_000097,user_07475,true crime,2024-09-30,80,9,Laptop,35.8,True,False,USA
search_000098,user_07252,biographies,2024-10-07,6,6,Smart TV,17.6,False,False,Canada
search_000099,user_04202,family movies,2024-06-10,59,3,Smart TV,37.0,False,False,Canada
search_000100,user_07105,trending now,2024-09-10,5,,Laptop,38.2,False,False,USA
search_000101,user_01032,trending now,2025-09-29,10,,Mobile,52.1,False,False,USA
search_000102,user_07527,korean drama,2025-05-29,21,,Laptop,,False,False,USA
search_000103,user_00459,new releases,2024-12-16,82,,Mobile,12.0,False,True,USA
search_000104,user_01088,family movies,2025-04-28,78,,Mobile,4.4,False,True,USA
search_000105,user_07312,biographies,2024-01-25,21,5,Smart TV,28.9,False,False,USA
search_000106,user_09887,christmas movies,2024-01-24,76,1,Tablet,4.6,False,False,Canada
search_000107,user_06771,biographies,2025-08-20,80,1,Smart TV,10.1,True,True,USA
search_000108,user_09510,classic movies,2024-11-19,48,,Smart TV,13.2,False,False,USA
search_000109,user_05752,true crime,2025-02-25,67,,Laptop,43.4,False,False,USA
search_000110,user_01529,comedy shows,2024-10-22,71,2,Tablet,38.8,False,False,Canada
search_000111,user_06556,series with only one season,2025-05-26,77,,Tablet,32.7,False,True,USA
search_000112,user_04470,classic movies,2024-02-28,92,,Smart TV,21.9,False,False,USA
search_000113,user_01769,korean drama,2024-02-14,51,6,Mobile,3.4,False,False,Canada
search_000114,user_09298,drama series,2024-11-12,70,4,Smart TV,,False,False,USA
search_000115,user_00593,war movies,2024-05-22,4,1,Smart TV,29.8,False,False,USA
search_000116,user_09611,romantic comedies,2025-10-20,4,8,Mobile,19.4,False,False,Canada
search_000117,user_00754,sci-fi,2025-08-01,38,,Mobile,1.4,False,False,Canada
search_000118,user_03644,classic movies,2025-01-10,84,,Tablet,9.8,False,True,USA
search_000119,user_07631,thriller series,2025-12-05,47,10,Smart TV,79.3,False,False,Canada
search_000120,user_06292,war movies,2025-02-22,70,3,Tablet,9.5,False,False,USA
search_000121,user_01279,romantic comedies,2025-11-21,92,6,Smart TV,,True,True,USA
search_000122,user_06171,drama series,2025-10-17,7,,Tablet,,False,False,Canada
search_000123,user_08206,action movies,2024-03-14,71,1,Mobile,13.7,True,False,Canada
search_000124,user_09858,drama series,2024-09-15,94,3,Laptop,9.1,False,False,USA
search_000125,user_06567,comedy shows,2024-02-09,63,,Smart TV,29.1,False,True,USA
search_000126,user_04151,classic movies,2024-09-25,31,,Mobile,10.9,False,True,USA
search_000127,user_08667,series with only one season,2024-12-01,35,3,Mobile,15.4,False,False,USA
search_000128,user_04001,cooking shows,2025-09-04,93,,Tablet,57.4,False,True,Canada
search_000129,user_09843,animated shows,2025-01-11,87,,Tablet,20.7,False,False,USA
search_000130,user_04379,war movies,2024-04-19,83,7,Laptop,14.4,False,True,USA
search_000131,user_00432,thriller series,2025-10-12,15,,Tablet,30.1,True,False,USA
search_000132,user_09872,documentaries,2025-09-26,90,4,Mobile,31.5,False,False,USA
search_000133,user_08475,documentaries,2024-09-04,67,3,Mobile,44.4,False,True,USA
search_000134,user_08396,horror movies,2024-06-01,70,,Laptop,21.8,False,False,USA
search_000135,user_02611,sci-fi,2024-07-01,43,7,Mobile,22.5,False,False,USA
search_000136,user_08984,halloween movies,2024-07-14,55,4,Smart TV,24.3,False,False,USA
search_000137,user_01102,animated shows,2025-09-17,94,8,Mobile,17.2,True,False,Canada
search_000138,user_03457,shows with strong female leads,2024-11-27,41,,Tablet,12.2,False,False,USA
search_000139,user_08824,stand up comedy,2024-11-17,32,9,Smart TV,45.6,True,True,USA
search_000140,user_04369,korean drama,2025-10-05,92,,Mobile,29.4,False,False,USA
search_000141,user_03824,true crime,2024-08-09,97,3,Laptop,29.2,False,False,USA
search_000142,user_06857,superhero movies,2025-01-11,68,2,Laptop,9.1,False,False,Canada
search_000143,user_04485,travel documentaries,2025-06-13,86,7,Smart TV,27.3,False,False,Canada
search_000144,user_05058,new releases,2025-06-24,59,3,Smart TV,21.5,True,False,Canada
search_000145,user_07835,comedy shows,2024-10-06,4,,Mobile,18.1,False,True,USA
search_000146,user_04897,sci-fi,2025-08-24,41,,Laptop,10.6,False,False,Canada
search_000147,user_09454,travel documentaries,2025-02-27,86,,Mobile,16.8,False,False,USA
search_000148,user_05310,thriller series,2025-10-27,79,1,Mobile,21.8,False,False,USA
search_000149,user_02889,war movies,2024-11-10,12,8,Mobile,23.5,False,False,Canada
search_000150,user_05166,war movies,2025-05-27,64,8,Laptop,3.1,False,False,Canada
search_000151,user_06640,halloween movies,2025-03-05,73,6,Laptop,14.8,True,False,USA
search_000152,user_06325,drama series,2024-12-31,86,,Laptop,27.3,False,True,Canada
search_000153,user_09822,sci-fi,2024-04-23,13,,Smart TV,25.5,False,False,Canada
search_000154,user_06434,biographies,2025-11-09,56,,Mobile,47.1,False,True,USA
search_000155,user_01036,trending now,2024-01-25,38,,Laptop,19.1,False,False,Canada
search_000156,user_08270,movies based on true stories,2024-06-27,100,8,Mobile,5.0,False,True,USA
search_000157,user_02481,new releases,2024-10-16,63,7,Laptop,23.5,False,False,USA
search_000158,user_01172,music documentaries,2025-12-13,35,,Laptop,14.9,False,False,USA
search_000159,user_02947,classic movies,2025-04-25,5,7,Smart TV,35.2,False,False,Canada
search_000160,user_02642,romantic comedies,2024-01-16,4,7,Tablet,10.8,False,False,USA
search_000161,user_07021,romantic comedies,2024-08-17,51,10,Smart TV,19.3,True,False,USA
search_000162,user_01950,trending now,2024-02-08,86,3,Laptop,17.2,False,False,USA
search_000163,user_09605,comedy shows,2024-12-12,43,10,Tablet,7.5,False,False,USA
search_000164,user_01574,netflix originals,2025-03-15,68,3,Laptop,39.9,False,False,USA
search_000165,user_07844,stand up comedy,2024-04-19,65,5,Tablet,14.5,False,False,USA
search_000166,user_04716,best movies 2024,2024-02-01,71,1,Tablet,24.9,False,True,Canada
search_000167,user_05757,cooking shows,2024-08-27,41,,Tablet,29.3,False,False,USA
search_000168,user_02174,short episodes under 30 minutes,2025-10-24,68,,Laptop,18.3,False,False,Canada
search_000169,user_00214,travel documentaries,2025-06-15,6,8,Smart TV,26.8,False,True,USA
search_000170,user_09533,new releases,2024-08-22,8,1,Laptop,17.0,False,False,Canada
search_000171,user_05235,music documentaries,2024-07-01,18,,Mobile,51.2,False,True,USA
search_000172,user_07205,new releases,2025-04-07,39,5,Tablet,26.6,True,True,USA
search_000173,user_04666,drama series,2024-07-23,68,1,Laptop,37.2,False,False,Canada
search_000174,user_08710,war movies,2025-07-14,57,7,Mobile,10.0,False,False,USA
search_000175,user_07360,christmas movies,2025-09-02,67,5,Laptop,15.4,False,False,USA
search_000176,user_04955,true crime,2024-10-10,43,1,Mobile,19.8,False,False,USA
search_000177,user_02412,netflix originals,2024-11-20,38,4,Tablet,2.7,True,False,Canada
search_000178,user_01626,animated shows,2025-02-08,21,,Smart TV,17.6,False,False,USA
search_000179,user_03530,travel documentaries,2024-07-24,64,8,Smart TV,47.1,False,True,USA
search_000180,user_08527,comedy shows,2025-06-07,38,,Tablet,34.2,False,False,USA
search_000181,user_09620,animated shows,2024-03-05,68,,Tablet,13.9,False,False,USA
search_000182,user_04129,classic movies,2024-01-08,84,,Tablet,22.4,False,True,USA
search_000183,user_05150,christmas movies,2024-10-14,3,6,Tablet,13.2,False,False,Canada
search_000184,user_03987,cooking shows,2024-01-23,64,,Smart TV,31.4,False,False,USA
search_000185,user_02218,cooking shows,2024-04-07,50,9,Mobile,5.9,False,True,Canada
search_000186,user_01843,cooking shows,2024-01-18,78,8,Smart TV,24.2,False,True,Canada
search_000187,user_09793,cooking shows,2025-07-17,46,2,Laptop,30.6,False,False,USA
search_000188,user_00134,sci-fi,2025-03-14,65,,Tablet,21.6,False,False,Canada
search_000189,user_05982,drama series,2024-04-03,41,,Laptop,7.1,False,False,USA
search_000190,user_06908,stand up comedy,2025-07-12,6,9,Tablet,9.7,False,False,USA
search_000191,user_07608,biographies,2024-09-30,58,,Laptop,1.2,False,False,USA
search_000192,user_07327,drama series,2025-05-29,51,5,Laptop,19.5,False,True,Canada
search_000193,user_06321,documentaries,2025-07-18,32,,Smart TV,24.1,True,False,USA
search_000194,user_09916,war movies,2025-08-07,14,,Tablet,6.1,False,True,USA
search_000195,user_05675,korean drama,2024-08-06,59,,Laptop,15.8,True,False,USA
search_000196,user_06983,short episodes under 30 minutes,2025-10-13,16,10,Tablet,5.6,False,True,USA
search_000197,user_08869,series with only one season,2024-01-17,17,6,Mobile,25.2,False,False,USA
search_000198,user_09861,documentaries,2024-09-28,73,8,Tablet,5.1,False,False,USA
search_000199,user_07743,romantic comedies,2024-08-07,22,,Laptop,16.4,False,False,USA
search_000200,user_01674,drama series,2025-03-19,88,8,Smart TV,35.5,False,False,USA
search_000201,user_07810,halloween movies,2024-11-14,25,3,Laptop,10.3,False,True,USA
search_000202,user_09822,war movies,2024-08-15,76,8,Mobile,7.9,False,False,USA
search_000203,user_04068,korean drama,2024-12-28,5,,Tablet,2.4,False,False,Canada
search_000204,user_05872,classic movies,2024-08-05,34,,Smart TV,38.6,False,False,Canada
search_000205,user_09204,horror movies,2024-02-06,50,10,Laptop,,False,True,Canada
search_000206,user_09780,comedy shows,2025-06-04,83,,Laptop,16.1,False,False,USA
search_000207,user_06450,stand up comedy,2025-05-06,59,7,Mobile,22.4,False,False,USA
search_000208,user_04973,superhero movies,2024-03-24,75,9,Laptop,4.2,False,False,Canada
search_000209,user_06211,family movies,2024-02-16,56,6,Mobile,22.8,False,True,USA
search_000210,user_09484,best movies 2024,2024-02-11,70,,Mobile,8.7,False,True,USA
search_000211,user_09559,new releases,2024-03-02,34,2,Smart TV,60.2,False,False,Canada
search_000212,user_02567,christmas movies,2024-12-21,16,8,Laptop,42.5,False,False,Canada
search_000213,user_02937,romantic comedies,2024-11-11,13,,Tablet,12.9,False,False,USA
search_000214,user_01892,stand up comedy,2025-12-25,6,1,Tablet,,False,True,USA
search_000215,user_02407,award winning documentaries,2025-04-14,48,,Tablet,22.9,False,True,USA
search_000216,user_06661,halloween movies,2025-12-07,13,2,Smart TV,4.1,False,True,USA
search_000217,user_00546,war movies,2024-09-20,50,,Laptop,6.7,False,True,USA
search_000218,user_03667,animated shows,2024-04-21,19,,Laptop,50.4,False,False,USA
search_000219,user_00234,korean drama,2025-06-05,97,,Tablet,14.0,False,False,USA
search_000220,user_03809,classic movies,2025-02-23,50,8,Tablet,11.6,False,True,Canada
search_000221,user_08034,true crime,2025-05-26,89,,Tablet,19.2,False,True,Canada
search_000222,user_00891,romantic comedies,2024-07-30,34,5,Mobile,12.8,False,False,USA
search_000223,user_05385,superhero movies,2025-01-18,80,1,Mobile,12.2,False,False,Canada
search_000224,user_00130,cooking shows,2024-02-12,48,5,Laptop,35.8,False,False,Canada
search_000225,user_02800,action movies,2025-12-14,66,1,Tablet,,True,True,USA
search_000226,user_08308,christmas movies,2025-11-04,69,1,Laptop,21.5,False,False,USA
search_000227,user_04510,classic movies,2024-08-17,95,,Smart TV,9.4,False,False,USA
search_000228,user_01994,romantic comedies,2025-05-03,5,,Mobile,,False,False,USA
search_000229,user_04776,trending now,2025-09-14,8,,Tablet,42.3,False,True,USA
search_000230,user_07657,true crime,2025-01-17,79,,Mobile,16.9,False,True,USA
search_000231,user_04903,netflix originals,2024-11-02,49,,Mobile,14.7,False,False,USA
search_000232,user_07788,travel documentaries,2024-09-19,74,5,Tablet,12.4,False,False,USA
search_000233,user_06430,action movies,2025-08-03,57,1,Smart TV,13.8,True,False,USA
search_000234,user_09136,trending now,2024-03-27,91,10,Tablet,1.0,False,True,USA
search_000235,user_08797,classic movies,2024-09-22,0,3,Tablet,7.6,False,True,Canada
search_000236,user_03495,netflix originals,2025-10-29,59,,Tablet,6.6,False,False,USA
search_000237,user_09134,horror movies,2025-06-09,57,,Mobile,11.0,False,False,USA
search_000238,user_04054,halloween movies,2025-03-14,86,7,Tablet,3.7,False,True,Canada
search_000239,user_07707,cooking shows,2024-01-25,66,,Laptop,38.0,True,False,Canada
search_000240,user_07516,romantic comedies,2024-01-18,17,,Laptop,25.4,False,False,Canada
search_000241,user_01481,sci-fi,2024-01-25,71,9,Laptop,5.3,False,False,USA
search_000242,user_03664,music documentaries,2024-02-15,92,,Mobile,11.6,False,True,USA
search_000243,user_00482,animated shows,2025-08-25,31,,Smart TV,19.1,True,True,Canada
search_000244,user_07023,best movies 2024,2024-09-11,48,,Mobile,19.7,False,False,USA
search_000245,user_00301,documentaries,2024-03-11,68,9,Smart TV,14.4,False,True,Canada
search_000246,user_09661,drama series,2025-01-30,24,,Mobile,2.2,False,False,USA
search_000247,user_01610,movies like stranger things,2025-11-03,85,,Mobile,29.3,False,False,Canada
search_000248,user_03239,classic movies,2025-09-07,79,,Laptop,12.8,False,False,USA
search_000249,user_08766,netflix originals,2025-07-25,33,,Smart TV,30.7,False,True,USA
search_000250,user_08226,thriller series,2025-04-28,56,3,Laptop,17.5,True,True,USA
search_000251,user_05389,shows with strong female leads,2024-05-24,40,,Laptop,6.9,False,False,USA
search_000252,user_04458,thriller series,2025-04-29,42,9,Smart TV,12.9,False,False,USA
search_000253,user_00053,classic movies,2025-12-24,85,2,Tablet,18.6,False,False,USA
search_000254,user_01886,netflix originals,2025-04-05,51,,Laptop,25.5,False,True,USA
search_000255,user_05782,korean drama,2024-08-29,20,6,Tablet,11.1,True,False,USA
search_000256,user_06376,halloween movies,2025-04-19,14,,Tablet,56.9,False,False,Canada
search_000257,user_01655,new releases,2025-12-24,50,,Smart TV,30.6,False,False,Canada
search_000258,user_08878,travel documentaries,2024-12-24,91,,Mobile,26.0,False,True,USA
search_000259,user_04427,shows with strong female leads,2024-06-07,68,10,Smart TV,18.6,False,False,USA
search_000260,user_01834,thriller series,2025-08-17,22,,Tablet,15.6,False,False,Canada
search_000261,user_03222,new releases,2024-07-14,96,,Laptop,,False,False,USA
search_000262,user_02962,thriller series,2025-11-01,29,5,Tablet,8.1,False,True,Canada
search_000263,user_08552,halloween movies,2025-12-02,43,,Mobile,15.2,False,False,USA
search_000264,user_09240,classic movies,2024-08-09,18,7,Tablet,17.3,False,False,Canada
search_000265,user_07623,travel documentaries,2025-10-31,32,3,Smart TV,3.6,False,False,USA
search_000266,user_08748,cooking shows,2025-07-07,8,1,Laptop,18.0,False,False,USA
search_000267,user_00957,true crime,2025-01-05,62,8,Laptop,,False,False,USA
search_000268,user_01862,new releases,2024-02-28,60,,Laptop,6.5,True,False,USA
search_000269,user_00856,family movies,2025-01-01,80,,Tablet,8.6,True,True,USA
search_000270,user_02271,action movies,2024-11-30,29,,Tablet,,False,False,USA
search_000271,user_09924,horror movies,2025-11-03,43,1,Laptop,4.7,False,False,USA
search_000272,user_04926,travel documentaries,2024-01-02,99,6,Smart TV,7.8,False,False,USA
search_000273,user_04455,music documentaries,2024-12-01,79,,Mobile,14.0,False,False,Canada
search_000274,user_06540,animated shows,2025-09-28,65,,Mobile,55.3,False,False,USA
search_000275,user_02864,korean drama,2025-06-05,86,,Tablet,45.2,True,False,USA
search_000276,user_01642,new releases,2025-06-16,27,9,Tablet,10.5,True,False,USA
search_000277,user_07654,classic movies,2024-08-22,96,,Mobile,3.1,False,False,USA
search_000278,user_07222,halloween movies,2024-10-20,62,,Laptop,31.9,False,True,USA
search_000279,user_08816,superhero movies,2025-03-20,16,,Tablet,6.0,False,True,USA
search_000280,user_04848,comedy shows,2024-11-08,41,,Tablet,54.0,False,False,USA
search_000281,user_08926,animated shows,2024-07-11,40,,Tablet,5.8,True,False,USA
search_000282,user_04911,classic movies,2025-12-26,7,,Smart TV,13.6,False,True,USA
search_000283,user_08470,cooking shows,2024-09-12,77,,Mobile,2.3,False,False,USA
search_000284,user_08972,comedy shows,2024-09-29,94,,Tablet,5.2,False,False,USA
search_000285,user_06892,short episodes under 30 minutes,2024-05-28,83,,Mobile,46.1,False,True,USA
search_000286,user_03621,true crime,2024-09-16,87,9,Laptop,22.3,False,False,USA
search_000287,user_02218,family movies,2024-10-31,32,,Tablet,19.6,False,False,USA
search_000288,user_02909,animated shows,2024-10-03,78,,Laptop,4.8,True,True,USA
search_000289,user_03104,music documentaries,2024-10-20,12,7,Laptop,9.8,False,False,Canada
search_000290,user_00135,travel documentaries,2024-05-06,36,,Tablet,17.4,False,False,USA
search_000291,user_02597,music documentaries,2025-01-12,78,6,Tablet,16.9,True,False,Canada
search_000292,user_09648,romantic comedies,2024-07-20,7,,Laptop,12.2,False,False,USA
search_000293,user_04160,movies like stranger things,2025-08-08,33,,Mobile,2.6,False,False,Canada
search_000294,user_03234,travel documentaries,2024-02-27,76,,Mobile,,False,False,Canada
search_000295,user_05137,halloween movies,2024-10-23,0,7,Tablet,31.7,False,False,USA
search_000296,user_02571,family movies,2025-04-06,47,,Laptop,15.7,False,True,USA
search_000297,user_07273,travel documentaries,2025-04-01,100,7,Laptop,6.4,False,True,USA
search_000298,user_01698,animated shows,2025-05-23,72,9,Mobile,14.2,False,True,USA
search_000299,user_03908,animated shows,2024-12-22,63,,Smart TV,7.8,True,True,USA
search_000300,user_00486,documentaries,2025-10-10,26,1,Tablet,8.1,False,False,USA
search_000301,user_08132,thriller series,2024-03-23,99,3,Smart TV,33.2,True,False,USA
search_000302,user_00036,comedy shows,2024-11-02,10,5,Tablet,42.1,True,False,USA
search_000303,user_01013,comedy shows,2025-06-20,88,,Laptop,24.2,False,False,Canada
search_000304,user_06469,netflix originals,2025-09-19,100,9,Mobile,27.7,False,False,USA
search_000305,user_04169,new releases,2025-11-03,10,,Smart TV,11.9,True,False,USA
search_000306,user_07858,true crime,2024-01-09,96,2,Laptop,6.0,False,False,USA
search_000307,user_06468,horror movies,2025-02-14,69,7,Tablet,14.0,False,False,USA
search_000308,user_00045,trending now,2025-03-28,80,,Mobile,3.9,False,False,USA
search_000309,user_00265,stand up comedy,2024-07-16,37,,Tablet,17.2,False,False,USA
search_000310,user_08714,family movies,2024-01-25,6,,Tablet,11.2,False,True,Canada
search_000311,user_02293,war movies,2024-09-03,35,9,Mobile,22.2,False,True,USA
search_000312,user_08793,cooking shows,2024-05-24,28,9,Tablet,10.4,False,False,USA
search_000313,user_09123,stand up comedy,2025-02-06,52,7,Smart TV,33.6,False,False,USA
search_000314,user_06435,travel documentaries,2025-05-14,3,8,Tablet,16.6,False,False,Canada
search_000315,user_02185,korean drama,2025-09-03,45,,Mobile,13.4,False,True,USA
search_000316,user_00073,animated shows,2025-03-03,2,5,Tablet,19.4,False,False,USA
search_000317,user_07365,true crime,2024-06-11,14,,Smart TV,18.0,False,False,Canada
search_000318,user_06041,war movies,2024-11-23,68,,Smart TV,19.7,False,False,USA
search_000319,user_02668,biographies,2024-09-11,62,,Tablet,3.5,False,False,USA
search_000320,user_00516,biographies,2025-01-23,97,8,Tablet,20.0,False,True,Canada
search_000321,user_05296,romantic comedies,2025-06-30,98,6,Tablet,28.0,False,True,USA
search_000322,user_00767,comedy shows,2025-01-16,96,,Laptop,28.2,False,False,USA
search_000323,user_01331,movies like stranger things,2025-05-11,70,,Smart TV,23.5,False,False,USA
search_000324,user_09839,comedy shows,2025-01-03,42,,Mobile,20.3,False,False,USA
search_000325,user_09956,sci-fi,2024-08-29,55,,Laptop,38.9,False,False,USA
search_000326,user_05818,stand up comedy,2025-08-03,70,9,Mobile,3.3,False,False,Canada
search_000327,user_08387,netflix originals,2024-09-23,71,,Laptop,,False,False,USA
